Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
73,130,20.1,28.9,0,-2.636,-1.627,-1.269,-0.841,-0.218,-0.656,-0.984
73,131,17.4,25.3,0,-2.045,-1.316,-1.049,-0.744,-0.115,-0.56,-0.846
73,132,14.7,19.9,0,-1.744,-1.139,-0.914,-0.597,0.031,-0.407,-0.602
73,133,15.9,23.1,0,-2.023,-1.276,-1.01,-0.622,0.005,-0.447,-0.687
73,134,17,24,0,-2.082,-1.307,-1.025,-0.614,0.016,-0.424,-0.764
73,135,16.9,21.7,0,-1.922,-1.198,-0.931,-0.579,0.048,-0.386,-0.683
73,136,15.3,21.3,0,-1.819,-1.138,-0.891,-0.535,0.094,-0.345,-0.637
73,137,15.2,20.9,0,-1.839,-1.134,-0.881,-0.535,0.093,-0.352,-0.651
73,138,17.5,24.4,0,-2.112,-1.255,-0.957,-0.613,0.012,-0.426,-0.767
73,139,18.9,25.1,0,-2.257,-1.349,-1.027,-0.656,-0.028,-0.487,-0.853
73,140,21.4,26.8,0,-2.509,-1.466,-1.099,-0.723,-0.095,-0.536,-0.91
73,141,18.6,24.5,0,-2.264,-1.347,-1.023,-0.647,-0.018,-0.46,-0.816
73,142,21,27.9,0,-2.527,-1.489,-1.124,-0.725,-0.096,-0.538,-0.939
73,143,15.5,23.2,0,-1.949,-1.164,-0.894,-0.563,0.066,-0.372,-0.698
73,144,15.6,24.2,0,-1.9,-1.141,-0.88,-0.565,0.066,-0.372,-0.724
73,145,16,25.8,0,-2.099,-1.276,-0.994,-0.627,0.002,-0.435,-0.69
73,146,17.4,27.3,0,-2.23,-1.341,-1.035,-0.664,-0.035,-0.475,-0.865
73,147,18.8,24.7,0,-2.289,-1.369,-1.042,-0.655,-0.027,-0.465,-0.825
73,148,21.5,28.9,0,-2.664,-1.579,-1.198,-0.773,-0.143,-0.583,-0.988
73,149,24,31.1,0,-2.87,-1.684,-1.27,-0.832,-0.205,-0.635,-1.049
73,150,21.7,26.8,0,-2.585,-1.535,-1.16,-0.736,-0.108,-0.551,-0.92
73,151,20.4,26.1,0,-2.425,-1.451,-1.103,-0.708,-0.079,-0.52,-0.875
73,152,18.7,23,0,-2.17,-1.291,-0.976,-0.625,0.003,-0.437,-0.782
73,153,21.3,26,0,-2.532,-1.489,-1.122,-0.724,-0.095,-0.529,-0.904
73,154,24.3,33.1,0,-2.958,-1.779,-1.366,-0.874,-0.245,-0.685,-1.126
73,155,61.6,75.1,0.583,-6.912,-3.884,-2.84,-1.897,-1.397,-1.751,-2.801
73,156,45.5,59.2,0.142,-5.632,-3.209,-2.355,-1.696,-1.097,-1.514,-2.131
73,157,49.6,55,0.583,-5.529,-3.027,-2.166,-1.436,-0.936,-1.291,-2.098
73,158,48.3,53.3,0.583,-5.289,-2.915,-2.093,-1.377,-0.877,-1.229,-1.983
73,159,51.7,58.7,0.583,-5.909,-3.285,-2.371,-1.578,-1.078,-1.431,-2.312
73,160,48.2,55,0.583,-5.384,-2.985,-2.154,-1.43,-0.93,-1.283,-2.086
73,161,43.2,50.1,0.583,-4.97,-2.781,-2.023,-1.337,-0.833,-1.194,-1.929
73,162,41.5,47.8,0.583,-4.565,-2.592,-1.892,-1.284,-0.756,-1.151,-1.688
73,163,41.1,51.2,0.583,-4.594,-2.604,-1.92,-1.208,-0.71,-1.061,-1.9
73,164,37.4,47.3,0.583,-4.398,-2.528,-1.875,-1.172,-0.671,-1.024,-1.636
73,165,38,52.7,0.583,-4.651,-2.712,-2.043,-1.263,-0.761,-1.115,-1.817
73,166,37.2,43.6,0.583,-4.321,-2.419,-1.765,-1.126,-0.623,-0.986,-1.699
73,167,33.2,40.2,0.583,-4.024,-2.256,-1.647,-1.024,-0.524,-0.878,-1.47
73,168,39.7,50.4,0.583,-4.628,-2.635,-1.945,-1.35,-0.788,-1.206,-1.36195
